MG,31,00104,Abadia dos Dourados, 7.059 
MG,31,00203,Abaeté, 23.611 
MG,31,00302,Abre Campo, 13.733 
MG,31,00401,Acaiaca, 4.065 
MG,31,00500,Açucena, 9.997 
MG,31,00609,Água Boa, 14.370 
MG,31,00708,Água Comprida, 2.058 
MG,31,00807,Aguanil, 4.440 
MG,31,00906,Águas Formosas, 19.416 
MG,31,01003,Águas Vermelhas, 13.576 
MG,31,01102,Aimorés, 25.711 
MG,31,01201,Aiuruoca, 6.209 
MG,31,01300,Alagoa, 2.752 
MG,31,01409,Albertina, 3.046 
MG,31,01508,Além Paraíba, 35.866 
MG,31,01607,Alfenas, 79.707 
MG,31,01631,Alfredo Vasconcelos, 6.775 
MG,31,01706,Almenara, 41.794 
MG,31,01805,Alpercata, 7.515 
MG,31,01904,Alpinópolis, 19.846 
MG,31,02001,Alterosa, 14.551 
MG,31,02050,Alto Caparaó, 5.791 
MG,31,02100,Alto Rio Doce, 11.693 
MG,31,02209,Alvarenga, 4.199 
MG,31,02308,Alvinópolis, 15.599 
MG,31,02407,Alvorada de Minas, 3.673 
MG,31,02506,Amparo do Serra, 4.924 
MG,31,02605,Andradas, 40.706 
MG,31,02704,Cachoeira de Pajeú, 9.479 
MG,31,02803,Andrelândia, 12.507 
MG,31,02852,Angelândia, 8.541 
MG,31,02902,Antônio Carlos, 11.608 
MG,31,03009,Antônio Dias, 9.637 
MG,31,03108,Antônio Prado de Minas, 1.664 
MG,31,03207,Araçaí, 2.368 
MG,31,03306,Aracitaba, 2.111 
MG,31,03405,Araçuaí, 37.361 
MG,31,03504,Araguari, 117.445 
MG,31,03603,Arantina, 2.873 
MG,31,03702,Araponga, 8.544 
MG,31,03751,Araporã, 6.774 
MG,31,03801,Arapuá, 2.883 
MG,31,03900,Araújos, 8.996 
MG,31,04007,Araxá, 104.283 
MG,31,04106,Arceburgo, 10.578 
MG,31,04205,Arcos, 39.811 
MG,31,04304,Areado, 14.956 
MG,31,04403,Argirita, 2.859 
MG,31,04452,Aricanduva, 5.192 
MG,31,04502,Arinos, 18.243 
MG,31,04601,Astolfo Dutra, 14.118 
MG,31,04700,Ataléia, 13.762 
MG,31,04809,Augusto de Lima, 5.023 
MG,31,04908,Baependi, 19.315 
MG,31,05004,Baldim, 8.051 
MG,31,05103,Bambuí, 24.018 
MG,31,05202,Bandeira, 4.984 
MG,31,05301,Bandeira do Sul, 5.739 
MG,31,05400,Barão de Cocais, 31.968 
MG,31,05509,Barão de Monte Alto, 5.648 
MG,31,05608,Barbacena, 136.689 
MG,31,05707,Barra Longa, 5.624 
MG,31,05905,Barroso, 20.882 
MG,31,06002,Bela Vista de Minas, 10.416 
MG,31,06101,Belmiro Braga, 3.503 
MG,31,06200,Belo Horizonte, 2.523.794 
MG,31,06309,Belo Oriente, 26.158 
MG,31,06408,Belo Vale, 7.841 
MG,31,06507,Berilo, 12.360 
MG,31,06606,Bertópolis, 4.678 
MG,31,06655,Berizal, 4.720 
MG,31,06705,Betim, 427.146 
MG,31,06804,Bias Fortes, 3.613 
MG,31,06903,Bicas, 14.545 
MG,31,07000,Biquinhas, 2.619 
MG,31,07109,Boa Esperança, 40.530 
MG,31,07208,Bocaina de Minas, 5.185 
MG,31,07307,Bocaiúva, 50.168 
MG,31,07406,Bom Despacho, 50.042 
MG,31,07505,Bom Jardim de Minas, 6.644 
MG,31,07604,Bom Jesus da Penha, 4.203 
MG,31,07703,Bom Jesus do Amparo, 6.018 
MG,31,07802,Bom Jesus do Galho, 15.459 
MG,31,07901,Bom Repouso, 10.775 
MG,31,08008,Bom Sucesso, 17.907 
MG,31,08107,Bonfim, 7.020 
MG,31,08206,Bonfinópolis de Minas, 5.764 
MG,31,08255,Bonito de Minas, 10.951 
MG,31,08305,Borda da Mata, 19.055 
MG,31,08404,Botelhos, 15.322 
MG,31,08503,Botumirim, 6.540 
MG,31,08552,Brasilândia de Minas, 16.105 
MG,31,08602,Brasília de Minas, 32.732 
MG,31,08701,Brás Pires, 4.550 
MG,31,08800,Braúnas, 5.003 
MG,31,08909,Brazópolis, 14.889 
MG,31,09006,Brumadinho, 38.863 
MG,31,09105,Bueno Brandão, 11.233 
MG,31,09204,Buenópolis, 10.594 
MG,31,09253,Bugre, 4.146 
MG,31,09303,Buritis, 24.689 
MG,31,09402,Buritizeiro, 28.335 
MG,31,09451,Cabeceira Grande, 6.940 
MG,31,09501,Cabo Verde, 14.330 
MG,31,09600,Cachoeira da Prata, 3.710 
MG,31,09709,Cachoeira de Minas, 11.646 
MG,31,09808,Cachoeira Dourada, 2.691 
MG,31,09907,Caetanópolis, 11.399 
MG,31,10004,Caeté, 44.377 
MG,31,10103,Caiana, 5.440 
MG,31,10202,Cajuri, 4.108 
MG,31,10301,Caldas, 14.529 
MG,31,10400,Camacho, 3.064 
